"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler"
"1963",1,102,4,"8ccfc960",55,10.35,81.84,21.98,5.95,18.33,18.18,83.64,61.82,12.73,9.09,1.82,1.82,1.82,3.64,0,3.64,3.64,14.55,12.73,14.55,16.36,0,18.18,5.45,0,3.64,3.64,1.82,1.82,0,1.82,1.82,0,0,14.55,0,0,3.64,0,18.18,1.82,5.45,3.64,9.09,1.82,7.27,0,0,0,0,1.82,0,1.82,0,0,1.82,1.82,0,0,0,0,0,18.18,1.82,12.73,1.82,3.64,7.27,1.82,0,0,0,0,0,0,0,0,0,0,0
"1964",1,102,4,"interviewer",26,92.84,77.92,17.46,99,26,23.08,84.62,53.85,15.38,3.85,0,0,3.85,0,0,11.54,15.38,15.38,7.69,3.85,3.85,0,19.23,7.69,7.69,0,0,3.85,7.69,7.69,0,0,0,0,3.85,0,0,0,0,15.38,3.85,3.85,0,7.69,0,0,3.85,0,0,0,0,0,0,0,0,3.85,0,0,0,3.85,0,0,15.38,0,11.54,0,7.69,3.85,7.69,0,0,0,0,0,0,0,0,0,0,0
"1965",1,102,4,"8ccfc960",33,84.89,88.71,16.48,80.64,8.25,12.12,87.88,63.64,15.15,6.06,0,0,0,0,6.06,9.09,6.06,24.24,3.03,6.06,12.12,0,15.15,0,0,6.06,0,0,3.03,3.03,0,0,0,0,12.12,0,0,0,0,9.09,3.03,0,3.03,0,3.03,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,3.03,0,0,15.15,0,15.15,0,15.15,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0
"1966",1,102,4,"interviewer",71,25.83,87.02,24.72,98.42,35.5,43.66,87.32,49.3,14.08,4.23,0,0,4.23,0,0,9.86,0,9.86,14.08,5.63,5.63,0,18.31,0,2.82,2.82,1.41,1.41,5.63,5.63,0,0,0,0,8.45,0,0,0,0,12.68,4.23,4.23,1.41,4.23,0,1.41,0,0,0,0,7.04,0,7.04,0,0,7.04,1.41,1.41,4.23,0,0,1.41,15.49,1.41,12.68,5.63,7.04,0,4.23,1.41,0,0,0,0,0,0,0,0,0,0
"1967",1,102,4,"8ccfc960",28,5.53,63.97,52.86,25.77,7,17.86,92.86,64.29,21.43,10.71,7.14,3.57,0,0,0,10.71,3.57,10.71,10.71,7.14,17.86,0,21.43,3.57,0,0,0,0,0,0,0,0,0,0,10.71,0,0,0,0,17.86,7.14,3.57,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,10.71,3.57,3.57,3.57,0,0,0,17.86,0,3.57,0,3.57,0,0,0,3.57,0,0,0,0,0,0,0,0,0
"1968",1,102,4,"interviewer",9,1,99,58.07,25.77,9,33.33,100,55.56,22.22,11.11,0,0,11.11,0,0,11.11,0,0,11.11,22.22,11.11,0,22.22,11.11,11.11,11.11,0,0,0,0,0,0,0,0,44.44,0,0,0,0,11.11,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0
"1969",1,102,4,"8ccfc960",40,58.47,77.33,74.76,25.77,20,20,80,50,12.5,7.5,0,0,5,0,2.5,5,5,12.5,5,2.5,12.5,2.5,15,2.5,5,2.5,0,2.5,0,0,0,0,0,0,10,0,0,0,0,15,5,0,2.5,5,2.5,5,0,0,0,0,5,0,5,0,5,5,0,0,2.5,0,2.5,7.5,10,0,17.5,5,5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
"1970",1,102,4,"interviewer",3,92.84,50,1,25.77,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0
"1971",1,102,4,"8ccfc960",77,9.38,87.87,39.99,49.97,19.25,7.79,97.4,67.53,29.87,11.69,3.9,0,5.19,0,2.6,18.18,2.6,18.18,16.88,5.19,7.79,0,29.87,1.3,2.6,2.6,0,2.6,1.3,1.3,0,0,0,0,15.58,0,0,0,0,18.18,5.19,3.9,0,2.6,1.3,5.19,2.6,0,2.6,0,1.3,0,1.3,0,1.3,6.49,0,3.9,0,2.6,0,5.19,24.68,1.3,5.19,0,5.19,0,0,0,0,0,0,0,1.3,0,0,1.3,0,0
"1972",1,102,4,"interviewer",22,68.79,81.84,2.4,25.77,11,22.73,86.36,50,13.64,4.55,0,0,4.55,0,0,9.09,9.09,9.09,13.64,0,4.55,0,18.18,4.55,4.55,0,0,4.55,0,0,0,0,0,0,4.55,0,0,0,0,18.18,4.55,0,0,13.64,0,0,4.55,0,0,0,9.09,0,9.09,0,0,4.55,0,0,0,4.55,0,0,13.64,0,4.55,0,4.55,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0
