"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","perform"
"312",1,101,"PCP","interviewer",13,64.27,77.92,1.4,99,13,23.08,76.92,46.15,7.69,0,0,0,0,0,0,7.69,0,15.38,15.38,7.69,0,0,15.38,0,0,0,0,7.69,7.69,7.69,0,0,0,0,7.69,0,0,0,0,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,23.08,7.69,23.08,0,0,0,0,23.08,0,7.69,0,0,7.69,15.38,7.69,0,0,0,0,0,0,0,0,0,0,"low"
"313",1,101,"PCP","a404055b",23,46.46,1,99,25.77,7.67,21.74,95.65,69.57,13.04,13.04,13.04,0,0,0,0,0,13.04,13.04,13.04,0,4.35,17.39,17.39,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,26.09,13.04,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,17.39,0,4.35,0,4.35,0,0,0,0,0,0,0,4.35,0,0,4.35,0,0,"low"
"314",1,101,"PCP","interviewer",5,99,2.31,43.37,25.77,5,20,60,60,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"315",1,101,"PCP","a404055b",5,1,1,99,25.77,5,0,100,80,40,20,20,0,0,0,0,20,0,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"316",1,101,"PCP","interviewer",15,51.43,50,43.37,25.77,15,33.33,73.33,46.67,13.33,0,0,0,0,0,0,13.33,0,13.33,6.67,6.67,6.67,0,6.67,0,0,0,0,13.33,0,0,0,0,0,0,13.33,0,0,0,0,20,0,0,0,13.33,0,13.33,0,0,0,0,6.67,0,6.67,0,0,6.67,6.67,0,0,0,0,0,6.67,0,6.67,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,"low"
"317",1,101,"PCP","a404055b",7,28.22,50,1,25.77,7,14.29,85.71,85.71,28.57,0,0,0,0,0,0,28.57,14.29,14.29,28.57,0,0,0,28.57,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"318",1,101,"PCP","interviewer",6,17.96,50,1,1,3,16.67,83.33,66.67,16.67,0,0,0,0,0,0,16.67,16.67,0,33.33,0,0,0,33.33,16.67,0,16.67,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"319",1,101,"PCP","a404055b",6,92.84,50,1,25.77,3,16.67,83.33,66.67,16.67,0,0,0,0,0,0,16.67,16.67,16.67,16.67,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,"low"
"320",1,101,"PCP","interviewer",20,65.29,99,15.86,96.76,20,25,90,45,15,10,0,5,5,0,0,5,10,10,10,10,0,0,30,5,0,0,5,5,5,5,0,0,0,0,20,0,0,0,0,5,5,0,0,0,0,0,5,0,5,0,10,0,10,0,0,10,10,0,0,0,0,0,30,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"321",1,101,"PCP","a404055b",24,1,10.58,74.76,25.77,6,4.17,95.83,75,37.5,20.83,12.5,8.33,0,0,0,16.67,4.17,4.17,33.33,4.17,0,12.5,37.5,4.17,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,20.83,8.33,0,0,4.17,4.17,4.17,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,"low"
"322",1,101,"PCP","interviewer",5,51.43,50,1,99,5,60,60,40,20,0,0,0,0,0,0,20,0,20,0,20,0,0,0,0,0,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"323",1,101,"PCP","a404055b",11,31.44,50,1,25.77,11,9.09,90.91,63.64,18.18,0,0,0,0,0,0,18.18,9.09,9.09,27.27,0,0,0,27.27,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,0,18.18,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,9.09,0,"low"
"324",1,101,"PCP","interviewer",3,17.96,50,1,25.77,3,0,66.67,33.33,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"325",1,101,"PCP","a404055b",1,1,50,1,25.77,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"326",1,101,"PCP","interviewer",9,4.38,99,58.07,25.77,9,11.11,88.89,66.67,33.33,22.22,0,0,22.22,0,0,11.11,0,11.11,11.11,11.11,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,22.22,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,22.22,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"327",1,101,"PCP","a404055b",14,99,92.33,13.15,25.77,7,14.29,92.86,42.86,7.14,7.14,0,7.14,0,0,0,0,21.43,7.14,0,0,7.14,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,7.14,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,7.14,0,0,7.14,0,14.29,0,0,14.29,0,0,0,0,0,0,21.43,0,7.14,7.14,14.29,0,"low"
"328",1,101,"PCP","interviewer",5,1,50,43.37,25.77,5,20,100,60,20,0,0,0,0,0,0,20,0,0,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,20,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"329",1,101,"PCP","a404055b",74,17.13,70.57,62.88,91.56,37,14.86,91.89,59.46,24.32,10.81,5.41,2.7,0,0,2.7,13.51,5.41,10.81,9.46,6.76,8.11,1.35,17.57,5.41,1.35,1.35,0,5.41,4.05,4.05,0,0,0,0,10.81,0,0,0,0,14.86,6.76,0,1.35,5.41,0,1.35,0,0,0,0,0,0,0,0,0,9.46,4.05,1.35,2.7,1.35,0,2.7,16.22,0,10.81,1.35,6.76,2.7,1.35,0,0,0,0,0,2.7,0,0,2.7,0,0,"low"
"330",1,101,"PCP","interviewer",20,65.29,99,1,96.76,20,35,75,55,25,20,0,0,15,5,0,5,5,20,10,5,0,0,10,5,5,5,0,5,5,5,0,0,0,0,20,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,10,0,5,5,0,0,0,15,0,10,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,"low"
"331",1,101,"PCP","a404055b",203,28.22,93.65,72.74,63.12,25.38,12.32,97.04,67.49,21.67,16.26,6.4,1.97,3.94,0,3.94,5.42,7.88,13.79,12.81,8.37,5.42,1.97,25.62,1.97,1.48,2.46,0.99,1.97,3.94,2.96,0.99,0,0.49,0,22.17,0.99,0,0,0,20.69,5.91,0.99,2.46,10.34,0.49,4.43,0.99,0,0.99,0,0,0,0,0,0,8.87,2.96,2.96,1.48,1.48,0.49,0.49,21.67,0.99,10.34,1.48,5.42,3.94,1.48,0.99,0.99,0,0,0,0.99,0,0,0,0.49,0.49,"low"
